tag,policy,rank,mean_err,median_err
layer22_expert18,expert_static,16.0,0.9264124478858942,0.9306425452232361
layer22_expert18,expert_static,32.0,0.8811605100940154,0.8861353993415833
layer22_expert18,expert_static,48.0,0.8439268691801268,0.8488731980323792
layer22_expert18,expert_static,64.0,0.8105698855060226,0.8155528903007507
layer22_expert18,expert_static,96.0,0.7523778757449373,0.7572848200798035
layer22_expert18,expert_static,128.0,0.7026147529895931,0.7077844738960266
layer22_expert18,expert_static,160.0,0.6567211460281731,0.6608728766441345
layer22_expert18,expert_static,192.0,0.6149302211905541,0.6185783743858337
layer22_expert18,expert_static,224.0,0.5764268359753826,0.5795959234237671
layer22_expert18,expert_static,256.0,0.539922852061656,0.5427814722061157
layer22_expert18,expert_static,320.0,0.4721221972560729,0.4749022126197815
layer22_expert18,expert_static,384.0,0.4084663881073519,0.410363107919693
layer22_expert18,expert_static,448.0,0.34786793251337417,0.34988877177238464
layer22_expert18,expert_static,512.0,0.2894627895040079,0.2909718453884125
layer22_expert18,expert_static,544.0,0.2611886536131522,0.2625221014022827
layer22_expert18,expert_static,576.0,0.2327551249401212,0.23439566791057587
layer22_expert18,expert_static,640.0,0.1743644567744566,0.1746903955936432
layer22_expert18,expert_static,704.0,0.11091433962535407,0.11070822179317474
layer22_expert18,expert_static,768.0,0.0017162611572967687,0.001716056140139699
layer22_expert18,oracle_token_wise,768.0,0.0017162611572967687,0.001716056140139699
layer22_expert18,random_equal_budget_mixture,768.0,0.0017162611572967689,0.0017162611572967689
layer22_expert30,expert_static,16.0,0.9464544276366824,0.9493606686592102
layer22_expert30,expert_static,32.0,0.9086090206389278,0.9107025861740112
layer22_expert30,expert_static,48.0,0.876373534675149,0.8793865442276001
layer22_expert30,expert_static,64.0,0.8443109557454526,0.8490062355995178
layer22_expert30,expert_static,96.0,0.7887570069195083,0.7942453026771545
layer22_expert30,expert_static,128.0,0.7405280661831669,0.7440560460090637
layer22_expert30,expert_static,160.0,0.6949002769416206,0.6999139189720154
layer22_expert30,expert_static,192.0,0.6531800649915829,0.6580235362052917
layer22_expert30,expert_static,224.0,0.6147647087868919,0.6195135116577148
layer22_expert30,expert_static,256.0,0.5773834909927295,0.5818406939506531
layer22_expert30,expert_static,320.0,0.5069888272335206,0.5114344358444214
layer22_expert30,expert_static,384.0,0.4417911661364105,0.44536885619163513
layer22_expert30,expert_static,448.0,0.37948445516087437,0.3829686939716339
layer22_expert30,expert_static,512.0,0.31977363192821934,0.32203906774520874
layer22_expert30,expert_static,544.0,0.28993715154875943,0.2918247878551483
layer22_expert30,expert_static,576.0,0.25928592262165023,0.2618434727191925
layer22_expert30,expert_static,640.0,0.1963185679317409,0.1961221545934677
layer22_expert30,expert_static,704.0,0.12811138467577282,0.12777255475521088
layer22_expert30,expert_static,768.0,0.0017278601279088065,0.0017288533272221684
layer22_expert30,oracle_token_wise,768.0,0.0017278601279088065,0.0017288533272221684
layer22_expert30,random_equal_budget_mixture,768.0,0.0017278601279088067,0.0017278601279088067
layer38_expert03,expert_static,16.0,0.9242760286108828,0.9339785575866699
layer38_expert03,expert_static,32.0,0.8872397274806582,0.8968617022037506
layer38_expert03,expert_static,48.0,0.8564848042674199,0.8660198450088501
layer38_expert03,expert_static,64.0,0.8299451467221994,0.8374900221824646
layer38_expert03,expert_static,96.0,0.7806782104588789,0.7874777615070343
layer38_expert03,expert_static,128.0,0.7354197200726379,0.7415416538715363
layer38_expert03,expert_static,160.0,0.6937287627342726,0.69754758477211
layer38_expert03,expert_static,192.0,0.6547345530977443,0.6577387452125549
layer38_expert03,expert_static,224.0,0.6182606079058027,0.6218096613883972
layer38_expert03,expert_static,256.0,0.5819605653258887,0.5852411985397339
layer38_expert03,expert_static,320.0,0.5144335349151707,0.5154707133769989
layer38_expert03,expert_static,384.0,0.4486170617168693,0.44884006679058075
layer38_expert03,expert_static,448.0,0.3856666527548367,0.38582436740398407
layer38_expert03,expert_static,512.0,0.3238156063476326,0.3233184218406677
layer38_expert03,expert_static,544.0,0.2921533496775971,0.29211992025375366
