tag,n_tokens,R_max,oracle_avg_rank,oracle_avg_rank_pct_of_max,r_static,r_static_pct_of_max,mean_err_static,median_err_static,mean_err_oracle,median_err_oracle,mean_err_random_mixture,std_err_random_mixture,rel_error_reduction_vs_static,violation_rate_static,violation_rate_oracle,violation_rate_reduction,bootstrap_mean_diff,bootstrap_ci95_lo,bootstrap_ci95_hi,gate3_pass
layer22_expert18,2489,768,768.0,1.0,768,1.0,0.0017162611572967687,0.001716056140139699,0.0017162611572967687,0.001716056140139699,0.0017162611572967689,2.168404344971009e-19,0.0,0.0,0.0,,0.0,0.0,0.0,False
layer22_expert30,671,768,768.0,1.0,768,1.0,0.0017278601279088065,0.0017288533272221684,0.0017278601279088065,0.0017288533272221684,0.0017278601279088067,2.168404344971009e-19,0.0,0.0,0.0,,0.0,0.0,0.0,False
layer38_expert03,2552,768,767.9749216300941,0.9999673458725183,704,0.9166666666666666,0.12831145153909362,0.12698788940906525,0.0017419043216025194,0.0017235850682482123,0.00176884161401832,4.3301382383322405e-05,0.9864244048313039,0.9996081504702194,0.0,1.0,0.1265085382214919,0.11926597392220753,0.13282811024836663,True
layer38_expert55,3535,768,754.6387553041019,0.9826025459688826,704,0.9166666666666666,0.06139304522698932,0.06037001684308052,0.009332328220194435,0.001734461053274572,0.014151937279908206,0.0003779238843699832,0.8479904656025794,0.8231966053748232,0.0,1.0,0.05209686068579869,0.0482424717792057,0.05605461338089839,True
