layer,matrix_type,cond_a,seed_a,cond_b,seed_b,n_experts_common,n_excluded_a,n_excluded_b,mean_angle_deg_k16,mean_angle_deg_k32,mean_angle_deg_k64,max_angle_deg_k16,max_angle_deg_k32,max_angle_deg_k64,proj_dist_k16,proj_dist_k32,proj_dist_k64,whitening_reldist_k16,whitening_reldist_k32,whitening_reldist_k64,cov_reldist_k16,cov_reldist_k32,cov_reldist_k64
1,gate_proj,english_only,0,english_only,1,64,0,0,28.558923721313477,33.54787063598633,38.6035041809082,81.52603912353516,86.90884399414062,89.0763168334961,2.029430627822876,3.2391324043273926,5.068161964416504,0.8134487867355347,0.9064971804618835,1.005181074142456,0.3501399755477905,0.3834148645401001,0.4075276255607605
1,gate_proj,english_only,0,english_only,2,64,0,0,28.208820343017578,33.87248992919922,39.099891662597656,78.20838928222656,87.46637725830078,89.22965240478516,2.0082249641418457,3.2598509788513184,5.109582424163818,0.8049229979515076,0.9116494655609131,1.0116912126541138,0.35047513246536255,0.3879046142101288,0.413766086101532
1,gate_proj,english_only,0,chinese_only,0,64,0,0,74.60667419433594,74.22919464111328,72.59234619140625,89.51918029785156,89.67628479003906,89.82228088378906,3.7596027851104736,5.3243865966796875,7.468122959136963,1.3637433052062988,1.3611159324645996,1.3506929874420166,1.2519371509552002,1.2543659210205078,1.2528681755065918
1,gate_proj,english_only,0,chinese_only,1,64,0,0,74.36489868164062,74.0523452758789,72.51730346679688,89.5453872680664,89.68059539794922,89.84764099121094,3.7530791759490967,5.317017555236816,7.463503360748291,1.3620465993881226,1.3602747917175293,1.350809097290039,1.2536323070526123,1.2558852434158325,1.2543883323669434
1,gate_proj,english_only,0,chinese_only,2,64,0,0,74.24928283691406,73.91988372802734,72.50076293945312,89.50696563720703,89.7483139038086,89.8284912109375,3.7496728897094727,5.311061859130859,7.4624128341674805,1.3613195419311523,1.3587315082550049,1.3504718542099,1.252867341041565,1.2546844482421875,1.2531616687774658
1,gate_proj,english_only,0,korean_only,0,64,0,0,82.97343444824219,80.88343048095703,77.50830078125,89.76251220703125,89.80667877197266,89.85296630859375,3.932795524597168,5.526614189147949,7.703563690185547,1.4731435775756836,1.432382345199585,1.3945029973983765,1.6856250762939453,1.6784660816192627,1.6712195873260498
1,gate_proj,english_only,0,korean_only,1,64,0,0,83.00222778320312,80.89375305175781,77.41861724853516,89.75796508789062,89.83476257324219,89.87232971191406,3.933642864227295,5.527321815490723,7.6988325119018555,1.4741065502166748,1.4329777956008911,1.3934004306793213,1.6848715543746948,1.6777149438858032,1.670452356338501
1,gate_proj,english_only,0,korean_only,2,64,0,0,83.04081726074219,81.02919006347656,77.55286407470703,89.7823486328125,89.84754943847656,89.86038208007812,3.9339864253997803,5.532529830932617,7.706818580627441,1.474496841430664,1.4340637922286987,1.3949458599090576,1.6868256330490112,1.6796846389770508,1.6724514961242676
1,gate_proj,english_only,0,swahili_only,0,64,0,0,77.77798461914062,75.66813659667969,72.6296615600586,89.5780258178711,89.75028991699219,89.83441925048828,3.8094515800476074,5.345160961151123,7.439197540283203,1.4119594097137451,1.4000250101089478,1.3876838684082031,1.544621467590332,1.538047194480896,1.5312228202819824
1,gate_proj,english_only,0,swahili_only,1,64,0,0,77.59782409667969,75.64584350585938,72.6441421508789,89.5740966796875,89.771484375,89.84524536132812,3.804776668548584,5.34549617767334,7.440573692321777,1.4095847606658936,1.4002504348754883,1.3866944313049316,1.541898250579834,1.5353097915649414,1.5284554958343506
