seed,layer,noise_floor,cross_lang_mean,ratio,pass,within_en_rho,en_ko_rho,en_zh_rho,fisher_gap
0,4,0.054369732829344104,0.3184529396109733,5.857173155706585,True,0.9495648953350487,0.7043637277252925,0.6795250507275904,0.2576205061086073
0,8,0.060529398470857934,0.22810429137872365,3.7684876628758364,True,0.9630496987010155,0.8522765523682384,0.9180781255368126,0.07787235974849005
0,14,0.06101254699464976,0.23454291194305435,3.844175067197598,True,0.9758602522435367,0.7443785471959664,0.729103369329623,0.23911929398074194
0,22,0.05582698855368644,0.27048001705579083,4.844968787733942,True,0.9820942000778516,0.8724497973576354,0.8148362395749559,0.138451181611556
0,30,0.06823102631357578,0.2176939910549858,3.190542526130399,True,0.9417999107255269,0.9197900290120292,0.9364195652949432,0.013695113572040785
0,34,0.054169260725404886,0.2750893292918696,5.078329030302886,True,0.9837985942852673,0.7782725086937472,0.7482587861683061,0.22053294685424063
0,38,0.06025809808760779,0.3436308440558405,5.702650016537925,True,0.9852983497511641,0.5082589826012253,0.4948389575734329,0.48374937966383513
0,42,0.06173392380638004,0.5192400721315612,8.410935837483557,True,0.9751069718921992,0.21111197245203253,0.049425050871070554,0.8448384602306477
0,45,0.06626892769027373,0.5398767207196005,8.146755040957725,True,0.9625169333820454,0.3535732648795354,0.17707502911428685,0.6971927863851343
0,47,0.04967920419528821,0.6961314277807241,14.012531783807203,True,0.9841643680769465,0.23812410598608252,0.12253283623011252,0.803835896968849
1,4,0.05593063802108138,0.3240882229308882,5.794466760932226,True,0.9420123220050176,0.6907746499774721,0.7013633896093875,0.24594330221158778
1,8,0.06627340153988508,0.2317177529478514,3.4963914264819738,True,0.9699137080641549,0.8605247242084891,0.9218088282846765,0.07874693181757209
1,14,0.05796850028403369,0.23825445061310319,4.110067527117409,True,0.9787563772952136,0.7569456378530102,0.7358255170530623,0.23237079984217734
1,22,0.059440071687406,0.26719134646089193,4.4951383616433915,True,0.9797030964192374,0.8682351575534156,0.8382717074245932,0.12644966393023294
1,30,0.08019252963136593,0.2130689691834106,2.656967801899497,True,0.9508809505221829,0.9257787770805487,0.9446626061868891,0.015660258888464007
1,34,0.05891253275485583,0.2720978530950563,4.618675184570618,True,0.9827646701120049,0.7907381946575605,0.7352119835615406,0.21978958100245427
1,38,0.0649458258242405,0.3467498937854729,5.339063586994245,True,0.9806832530160753,0.5207411377192918,0.4903860468844838,0.47511966071418754
1,42,0.07410332489606022,0.524017981324142,7.071450330456116,True,0.9750450509813806,0.25865317539531857,0.06384465826330003,0.8137961341520713
1,45,0.07651597182802229,0.5482531336081095,7.16521166117273,True,0.9557292860745562,0.36958742913117704,0.24542965369783287,0.6482207446600512
1,47,0.046316345376702345,0.6994247623590364,15.101035210581513,True,0.987889335233269,0.19298454192531947,0.18564312445470063,0.798575502043259
2,4,0.05514139202548314,0.32016229332676893,5.806206219436908,True,0.9703158496372063,0.7065257529219469,0.6948547399921439,0.26962560318016093
2,8,0.06458577754899364,0.22924011087033053,3.549389967418647,True,0.9622766412661736,0.8532225538900557,0.9162326140461334,0.07754905729807904
2,14,0.055507197297718816,0.23716395357133424,4.272670304344135,True,0.9743741046864662,0.7566821603365654,0.7317459395701916,0.23016005473308776
2,22,0.0711901001626181,0.26654517717214776,3.7441326330948264,True,0.9733986163480018,0.8553397209250017,0.8183598166823629,0.13654884754431962
2,30,0.08394409383432198,0.2086558967317825,2.485653096018888,True,0.9465858822756709,0.9129197898789208,0.9465009758825,0.01687549939496047
2,34,0.07224364194987981,0.26738052287287645,3.7010941815250122,True,0.9692214427112865,0.7762485265608319,0.7528439908335707,0.20467518401408524
2,38,0.07051240050904553,0.33955914012714056,4.815594670948424,True,0.9798960158495666,0.49772105220966334,0.5092662089068785,0.47640238529129575
2,42,0.06880290289155655,0.5165064936880746,7.507045080672896,True,0.9792234182384382,0.20221890349899868,0.10120253723260512,0.8275126978726363
2,45,0.07053479118573991,0.5391748847401051,7.644098404151945,True,0.9555611632970877,0.33205459839631485,0.23823126039125675,0.6704182339033019
2,47,0.04897247467925109,0.6921803267531506,14.134068806745784,True,0.9854104446378249,0.24897875964183877,0.22263475970178548,0.7496036849660128
