seed,layer,noise_floor,cross_lang_mean,ratio,pass,within_en_rho,en_ko_rho,en_zh_rho,fisher_gap
0,4,0.1203276836111547,0.3588580290019637,2.98233970963517,True,0.8883124152640395,0.708568049035161,0.6949116205450759,0.186572580473921
0,8,0.16019049159000326,0.2829556743195833,1.7663699730929676,True,0.8919879140889323,0.8249054128712299,0.8978714665655676,0.030599474370533564
0,14,0.14593798487336002,0.3010645297048655,2.0629620860266025,True,0.924162766269917,0.7424106050484444,0.710367670957728,0.19777362826683076
0,22,0.1338740872000615,0.2974120965906724,2.2215807615272074,True,0.9273387306298854,0.8609706799935946,0.8420646229879484,0.07582107913911396
0,30,0.2024202672540421,0.2731249566324819,1.3492964925775133,False,0.82063935757876,0.8610385422881027,0.8800821443593339,-0.04992098574495829
0,34,0.15912383497255164,0.31557773744892087,1.9832210397855043,True,0.8992185588604067,0.8128082196347486,0.7253358919470018,0.13014650306953146
0,38,0.1682329938369921,0.39745653017283133,2.3625361536271736,True,0.9022497166682438,0.5205354363538961,0.46949201616556463,0.40723599040851344
0,42,0.16263297877202976,0.5721482786231519,3.51803356824177,True,0.9100666251156242,0.3023157138066529,0.05420746760029972,0.7318050344121478
0,45,0.1818181132173662,0.5975927920236215,3.2867615962398125,True,0.8570594087243844,0.41334607358484804,0.2577426993925438,0.5215150222356885
0,47,0.13999924124868657,0.7378474135528966,5.270367231792543,True,0.9165391532482895,0.2883329865609236,0.003131783978730862,0.7708067679784623
