layer,condition_a,condition_b,js_divergence,top_k_jaccard
8,en_only,en_only_control,0.40489100338427486,0.391304347826087
8,en_only,ko_only,0.3204073509195015,0.6410256410256411
8,en_only,zh_only,0.2751014092588303,0.6410256410256411
8,en_only,balanced,0.36871987068619516,0.391304347826087
8,en_only_control,ko_only,0.49786463738467657,0.30612244897959184
8,en_only_control,zh_only,0.47397757742746527,0.3333333333333333
8,en_only_control,balanced,0.3129610969272019,0.5238095238095238
8,ko_only,zh_only,0.32995647999893496,0.5609756097560976
8,ko_only,balanced,0.3429387955642574,0.5238095238095238
8,zh_only,balanced,0.36976763549858227,0.45454545454545453
22,en_only,en_only_control,0.36340252207661855,0.5609756097560976
22,en_only,ko_only,0.3223368151204545,0.5609756097560976
22,en_only,zh_only,0.3152840208590418,0.6410256410256411
22,en_only,balanced,0.35012608971030706,0.6410256410256411
22,en_only_control,ko_only,0.4622640828910551,0.3617021276595745
22,en_only_control,zh_only,0.4856907633312393,0.391304347826087
22,en_only_control,balanced,0.27467131576336995,0.6842105263157895
22,ko_only,zh_only,0.42249246919428174,0.4883720930232558
22,ko_only,balanced,0.3441154764624749,0.5238095238095238
22,zh_only,balanced,0.3881067199790916,0.5238095238095238
38,en_only,en_only_control,0.32647088587320294,0.45454545454545453
38,en_only,ko_only,0.44538406525793384,0.45454545454545453
38,en_only,zh_only,0.4129111167131234,0.5609756097560976
38,en_only,balanced,0.41355632164716694,0.4222222222222222
38,en_only_control,ko_only,0.5386305562641298,0.30612244897959184
38,en_only_control,zh_only,0.5220178407839262,0.30612244897959184
38,en_only_control,balanced,0.3924133210443194,0.45454545454545453
38,ko_only,zh_only,0.3213347503900284,0.7777777777777778
38,ko_only,balanced,0.3247194281874597,0.6842105263157895
38,zh_only,balanced,0.33709174154645705,0.6410256410256411
