tag,policy,rank,mean_err,median_err
layer12_expert19,expert_static,16.0,0.7920998495704723,0.8120250105857849
layer12_expert19,expert_static,32.0,0.7381934536827935,0.7571889758110046
layer12_expert19,expert_static,48.0,0.6886672366465163,0.7048143744468689
layer12_expert19,expert_static,64.0,0.6436653886076289,0.6570437550544739
layer12_expert19,expert_static,96.0,0.565649756670498,0.57518070936203
layer12_expert19,expert_static,128.0,0.49719077274359497,0.5052922368049622
layer12_expert19,expert_static,160.0,0.43808739633930055,0.442466139793396
layer12_expert19,expert_static,192.0,0.3831243532946025,0.3865125775337219
layer12_expert19,expert_static,224.0,0.3351121329099127,0.3352644741535187
layer12_expert19,expert_static,256.0,0.2912075624713358,0.29129722714424133
layer12_expert19,expert_static,320.0,0.21305580802371166,0.21168899536132812
layer12_expert19,expert_static,384.0,0.14430796709731689,0.14158198237419128
layer12_expert19,expert_static,448.0,0.08230119575619448,0.08015874773263931
layer12_expert19,expert_static,480.0,0.050569448225684384,0.048809219151735306
layer12_expert19,expert_static,512.0,0.0016955541242285,0.0016903877258300781
layer12_expert19,oracle_token_wise,493.63186582809226,0.022543948332816206,0.03104742057621479
layer12_expert19,random_equal_budget_mixture,493.63186582809226,0.03009177484174222,0.03009177484174222
layer12_expert26,expert_static,16.0,0.872660826391748,0.8867366909980774
layer12_expert26,expert_static,32.0,0.8175691536207804,0.8270576000213623
layer12_expert26,expert_static,48.0,0.7696170468868532,0.7791279554367065
layer12_expert26,expert_static,64.0,0.7254241235901437,0.7314308881759644
layer12_expert26,expert_static,96.0,0.6450699291357761,0.6489396095275879
layer12_expert26,expert_static,128.0,0.5709092823191347,0.5726452469825745
layer12_expert26,expert_static,160.0,0.5051026291254195,0.5053658485412598
layer12_expert26,expert_static,192.0,0.4443240638096503,0.4420868158340454
layer12_expert26,expert_static,224.0,0.3891462858709842,0.38767191767692566
layer12_expert26,expert_static,256.0,0.3388374106459642,0.33700743317604065
layer12_expert26,expert_static,320.0,0.24849558281537054,0.2444687932729721
layer12_expert26,expert_static,384.0,0.16813489129157097,0.1645165979862213
layer12_expert26,expert_static,448.0,0.09475828382379549,0.09227029234170914
layer12_expert26,expert_static,480.0,0.05789768426736073,0.055678293108940125
layer12_expert26,expert_static,512.0,0.0017185773185921277,0.0017105452716350555
layer12_expert26,oracle_token_wise,501.6327905670971,0.015002733606001668,0.0017641850281506777
layer12_expert26,random_equal_budget_mixture,501.6327905670971,0.019738608552855457,0.019738608552855457
layer19_expert14,expert_static,16.0,0.900798942654175,0.9228481948375702
layer19_expert14,expert_static,32.0,0.8489328081512949,0.8700949251651764
layer19_expert14,expert_static,48.0,0.8036927893709906,0.8243144154548645
layer19_expert14,expert_static,64.0,0.7638114257281424,0.7839072048664093
layer19_expert14,expert_static,96.0,0.6896161236515765,0.704608827829361
layer19_expert14,expert_static,128.0,0.6239334105355275,0.6371115744113922
layer19_expert14,expert_static,160.0,0.562542808586522,0.5716524124145508
layer19_expert14,expert_static,192.0,0.5043841967197477,0.50885871052742
layer19_expert14,expert_static,224.0,0.44910086185889997,0.45085081458091736
layer19_expert14,expert_static,256.0,0.39516914542464965,0.3929477781057358
layer19_expert14,expert_static,320.0,0.2981287210077718,0.2894379496574402
layer19_expert14,expert_static,384.0,0.20388729143827866,0.1898885890841484
layer19_expert14,expert_static,448.0,0.11428752786875178,0.10258135199546814
layer19_expert14,expert_static,480.0,0.06822816851785425,0.05865291692316532
layer19_expert14,expert_static,512.0,0.0017587296955098048,0.0017561427666805685
layer19_expert14,oracle_token_wise,497.86495176848877,0.01619461730872715,0.0018269350402988493
layer19_expert14,random_equal_budget_mixture,497.86495176848877,0.03135191540630951,0.03135191540630951
layer19_expert27,expert_static,16.0,0.8665058964224004,0.9033142328262329
layer19_expert27,expert_static,32.0,0.7946731172761514,0.8315422832965851
layer19_expert27,expert_static,48.0,0.743287108430815,0.7760204672813416
layer19_expert27,expert_static,64.0,0.6956694861642312,0.7236041128635406
layer19_expert27,expert_static,96.0,0.6192749647507027,0.6379279792308807
layer19_expert27,expert_static,128.0,0.5547956554080123,0.5695895254611969
layer19_expert27,expert_static,160.0,0.49458129876362744,0.5049816966056824
layer19_expert27,expert_static,192.0,0.4380434304197778,0.4430779814720154
layer19_expert27,expert_static,224.0,0.3874149727565584,0.3876161426305771
layer19_expert27,expert_static,256.0,0.3400499137275996,0.33826981484889984
layer19_expert27,expert_static,320.0,0.2530988931229607,0.24532639235258102
layer19_expert27,expert_static,384.0,0.17478556826650465,0.16189712285995483
layer19_expert27,expert_static,448.0,0.09880837539919833,0.0821407288312912
layer19_expert27,expert_static,480.0,0.05604960993615753,0.04401661083102226
layer19_expert27,expert_static,512.0,0.001820704015608951,0.0017842657398432493
layer19_expert27,oracle_token_wise,485.0149253731343,0.022862488451843563,0.028067014180123806
layer19_expert27,random_equal_budget_mixture,485.0149253731343,0.04737476188221347,0.04737476188221347
