tag,n_tokens,R_max,oracle_avg_rank,oracle_avg_rank_pct_of_max,r_static,r_static_pct_of_max,mean_err_static,median_err_static,mean_err_oracle,median_err_oracle,mean_err_random_mixture,std_err_random_mixture,rel_error_reduction_vs_static,violation_rate_static,violation_rate_oracle,violation_rate_reduction,bootstrap_mean_diff,bootstrap_ci95_lo,bootstrap_ci95_hi,gate3_pass
layer12_expert19,2385,512,493.63186582809226,0.9641247379454927,480,0.9375,0.050569448225684384,0.048809219151735306,0.022543948332816206,0.03104742057621479,0.03009177484174222,0.00039951427977817113,0.5541982536134127,0.47044025157232705,0.0,1.0,0.027985514402219892,0.024026937739597576,0.031845748320261366,True
layer12_expert26,1781,512,501.6327905670971,0.9797515440763616,480,0.9375,0.05789768426736073,0.055678293108940125,0.015002733606001668,0.0017641850281506777,0.019738608552855457,0.00044677328142613194,0.7408750661473464,0.678270634475014,0.0,1.0,0.042804574130198246,0.037862942438654144,0.04717488080533387,True
layer19_expert14,2488,512,497.86495176848877,0.9723924839228296,480,0.9375,0.06822816851785425,0.05865291692316532,0.01619461730872715,0.0018269350402988493,0.03135191540630951,0.0006935871478556156,0.7626403044295514,0.6197749196141479,0.0,1.0,0.05172268481096901,0.04072330644621354,0.06262684956627243,True
layer19_expert27,1608,512,485.0149253731343,0.9472947761194029,480,0.9375,0.05604960993615753,0.04401661083102226,0.022862488451843563,0.028067014180123806,0.04737476188221347,0.0004630298304554828,0.5921026305466757,0.4129353233830846,0.0,1.0,0.032923494268310115,0.018894579520705706,0.047872603060809205,True
