tag,eps,n,fail_frac,dominant_rank,dominant_frac,occupied_bins,bins_ge_10pct,rank_entropy_bits,median_oracle_rank,mean_oracle_rank,q25_oracle_rank,q75_oracle_rank,gate2_pass
layer12_expert19,oracle_rank_eps0.05,2385,0.0,480,0.4851153039832285,3,2,1.2177041959601893,480.0,493.63186582809226,480.0,512.0,True
layer12_expert26,oracle_rank_eps0.05,1781,0.0,512,0.678270634475014,3,2,0.9255672528787953,512.0,501.6327905670971,480.0,512.0,True
layer19_expert14,oracle_rank_eps0.05,2488,0.0,512,0.6197749196141479,4,2,1.2032504770740542,512.0,497.86495176848877,480.0,512.0,True
layer19_expert27,oracle_rank_eps0.05,1608,0.0,512,0.4129353233830846,5,3,1.6322518283653293,480.0,485.0149253731343,480.0,512.0,True
